date,scn-1,scn-2,scn-3,Actuals
2021-08-15,19.653906,19.653906,19.653906,19.3
2021-08-16,19.675909,19.821402,19.821402,20.8
2021-08-17,20.1558,19.883415,19.883415,19.0
2021-08-18,19.672205,19.672205,19.92173,19.4
2021-08-19,19.714561,19.811956,19.943901,18.9
2021-08-20,19.506279,19.851461,19.95001,20.0
2021-08-21,19.824276,19.824276,19.955648,20.0
2021-08-22,19.867998,19.815224,19.867998,19.5
2021-08-23,19.728851,19.826572,19.853378,19.2
2021-08-24,19.593887,19.593887,19.849691,19.0
2021-08-25,19.471182,19.686277,19.848318,19.2
2021-08-26,19.49098,19.727766,19.84912,18.4
2021-08-27,19.157335,19.157335,19.852522,19.6
2021-08-28,19.527885,19.365185,19.8583,19.2
2021-08-29,19.422636,19.459347,19.422636,20.9
2021-08-30,20.02206,20.02206,19.503378,19.0
2021-08-31,19.492887,19.857208,19.541851,18.6
2021-09-01,19.237284,19.803173,19.569618,18.4
2021-09-02,19.034782,19.034782,19.585287,20.4
2021-09-03,19.750025,19.220522,19.603811,18.3
2021-09-04,19.081398,19.313103,19.623034,20.4
2021-09-05,19.769083,19.769083,19.769083,20.8
2021-09-06,20.011436,19.65737,19.65737,19.8
2021-09-07,19.77363,19.637745,19.637745,20.8
2021-09-08,20.064331,20.064331,19.630474,21.0
2021-09-09,20.19428,19.904724,19.629978,21.6
2021-09-10,20.45273,19.842382,19.633602,20.0
2021-09-11,20.06468,20.06468,19.639841,20.8
2021-09-12,20.24932,20.01134,20.24932,20.3
2021-09-13,20.132496,19.962593,20.109568,20.2
2021-09-14,20.087656,20.087656,20.04148,19.8
2021-09-15,19.945225,20.032286,19.994314,20.0
2021-09-16,19.962196,19.991182,19.95667,20.8
2021-09-17,20.210009,20.210009,19.926493,21.0
2021-09-18,20.346308,20.088623,19.899336,18.8
2021-09-19,19.700747,20.033545,19.700747,20.2
2021-09-20,19.97887,19.97887,19.81458,20.8
2021-09-21,20.199697,19.934086,19.830505,20.0
2021-09-22,20.022215,19.911121,19.831211,20.6
2021-09-23,20.178085,20.178085,19.828518,20.1
2021-09-24,20.058542,20.077568,19.817694,18.8
2021-09-25,19.61378,20.025793,19.80854,20.3
2021-09-26,19.951504,19.951504,19.951504,21.6
2021-09-27,20.42017,19.907967,19.907967,20.2
2021-09-28,20.15974,19.89481,19.89481,20.0
2021-09-29,20.054855,20.054855,19.88434,18.4
2021-09-30,19.49423,20.031996,19.877453,20.8
2021-10-01,20.086657,20.00929,19.869247,20.0
