date,scn-1,scn-2,scn-3,Actuals
2021-08-15,19.628908,19.628908,19.628908,19.3
2021-08-16,19.69459,19.832281,19.832281,20.8
2021-08-17,20.154272,19.885155,19.885155,19.0
2021-08-18,19.630104,19.630104,19.915514,19.4
2021-08-19,19.734623,19.8174,19.930471,18.9
2021-08-20,19.448921,19.853024,19.923212,20.0
2021-08-21,19.835373,19.835373,19.924175,20.0
2021-08-22,19.851713,19.795002,19.851713,19.5
2021-08-23,19.692745,19.80146,19.829084,19.2
2021-08-24,19.553253,19.553253,19.829931,19.0
2021-08-25,19.424234,19.662823,19.831436,19.2
2021-08-26,19.458817,19.71247,19.83265,18.4
2021-08-27,19.09049,19.09049,19.835932,19.6
2021-08-28,19.529917,19.318182,19.843266,19.2
2021-08-29,19.385834,19.414396,19.385834,20.9
2021-08-30,20.049454,20.049454,19.461866,19.0
2021-08-31,19.433935,19.854765,19.515144,18.6
2021-09-01,19.226902,19.812181,19.558517,18.4
2021-09-02,19.10016,19.10016,19.621658,20.4
2021-09-03,19.869135,19.318497,19.674835,18.3
2021-09-04,19.054625,19.399122,19.714794,20.4
2021-09-05,19.863651,19.863651,19.863651,20.8
2021-09-06,20.092539,19.762222,19.762222,19.8
2021-09-07,19.812717,19.757914,19.757914,20.8
2021-09-08,20.169844,20.169844,19.772718,21.0
2021-09-09,20.313679,20.023098,19.784662,21.6
2021-09-10,20.665447,20.003708,19.807665,20.0
2021-09-11,20.266245,20.266245,19.835426,20.8
2021-09-12,20.523,20.317806,20.523,20.3
2021-09-13,20.377645,20.310364,20.454327,20.2
2021-09-14,20.293333,20.293333,20.404564,19.8
2021-09-15,20.078074,20.262566,20.345089,20.0
2021-09-16,20.016104,20.174288,20.248547,20.8
2021-09-17,20.23677,20.23677,20.161036,21.0
2021-09-18,20.335611,20.05085,20.055637,18.8
2021-09-19,19.60516,19.961067,19.60516,20.2
2021-09-20,19.874496,19.874496,19.698542,20.8
2021-09-21,20.049692,19.761877,19.685774,20.0
2021-09-22,19.829857,19.707901,19.656168,20.6
2021-09-23,19.985949,19.985949,19.632235,20.1
2021-09-24,19.854519,19.816053,19.591011,18.8
2021-09-25,19.478462,19.747984,19.574284,20.3
2021-09-26,19.819542,19.819542,19.819542,21.6
2021-09-27,20.240837,19.74226,19.74226,20.2
2021-09-28,19.963633,19.716808,19.716808,20.0
2021-09-29,19.882305,19.882305,19.704876,18.4
2021-09-30,19.421494,19.839064,19.704618,20.8
2021-10-01,19.993378,19.80353,19.696348,20.0
2021-10-02,19.864285,19.864285,19.696194,21.2
2021-10-03,20.233934,19.82315,20.233934,21.0
2021-10-04,20.28638,19.802643,20.013834,20.2
2021-10-05,20.076675,20.076675,19.92079,19.8
2021-10-06,19.91712,20.005638,19.869602,18.6
2021-10-07,19.546452,19.97224,19.849167,18.2
2021-10-08,19.302582,19.302582,19.843712,18.8
2021-10-09,19.34381,19.548143,19.819103,20.3
