date,scn-1,scn-2,scn-3,Actuals
2021-08-15,27.513266,27.513266,27.513266,28.0
2021-08-16,27.704802,27.534962,27.534962,27.5
2021-08-17,27.66961,27.583355,27.583355,28.8
2021-08-18,28.000294,28.000294,27.584051,28.4
2021-08-19,28.01465,27.889624,27.562979,27.8
2021-08-20,27.809063,27.751854,27.53225,27.7
2021-08-21,27.637144,27.637144,27.493256,27.5
2021-08-22,27.527622,27.563324,27.527622,28.2
2021-08-23,27.695892,27.515327,27.49287,27.9
2021-08-24,27.658155,27.658155,27.452093,27.6
2021-08-25,27.580091,27.5905,27.450542,26.6
2021-08-26,27.264547,27.520386,27.436728,27.2
2021-08-27,27.307108,27.307108,27.439766,27.2
2021-08-28,27.394585,27.418695,27.486532,27.9
2021-08-29,27.597336,27.487036,27.597336,28.4
2021-08-30,27.820646,27.820646,27.59169,28.0
2021-08-31,27.811052,27.757202,27.602108,28.8
2021-09-01,28.004715,27.679493,27.585714,29.2
2021-09-02,28.18457,28.18457,27.562185,27.7
2021-09-03,27.869217,28.00975,27.553133,28.6
2021-09-04,27.998749,27.868906,27.547615,28.4
2021-09-05,27.996408,27.996408,27.996408,28.4
2021-09-06,28.036736,27.903738,27.903738,27.6
2021-09-07,27.773727,27.78489,27.78489,28.8
2021-09-08,28.038424,28.038424,27.706106,26.4
2021-09-09,27.476477,27.959627,27.680872,24.0
2021-09-10,26.964006,27.918089,27.685314,28.7
2021-09-11,27.562115,27.562115,27.718088,28.0
2021-09-12,27.782202,27.664583,27.782202,25.6
2021-09-13,27.318617,27.73596,27.820559,28.4
2021-09-14,27.759129,27.759129,27.83638,28.7
2021-09-15,28.01917,27.824429,27.867622,27.4
2021-09-16,27.840857,27.850155,27.878431,24.3
2021-09-17,27.209133,27.209133,27.886265,27.2
2021-09-18,27.399294,27.401554,27.871649,25.0
2021-09-19,27.13119,27.566498,27.13119,27.4
2021-09-20,27.450714,27.450714,27.394093,28.2
2021-09-21,27.810833,27.623964,27.592396,29.0
2021-09-22,28.080553,27.686728,27.674065,26.2
2021-09-23,27.466984,27.466984,27.705753,27.2
2021-09-24,27.409718,27.477379,27.661003,27.2
2021-09-25,27.364372,27.459461,27.582638,27.8
2021-09-26,27.485882,27.485882,27.485882,27.7
2021-09-27,27.500435,27.444132,27.444132,28.4
2021-09-28,27.654245,27.377771,27.377771,29.7
2021-09-29,28.075062,28.075062,27.359709,29.2
2021-09-30,28.129683,27.836206,27.410921,29.8
2021-10-01,28.259502,27.593199,27.385468,31.4
2021-10-02,28.73474,28.73474,27.366798,29.4
2021-10-03,28.545452,28.337961,28.545452,27.0
2021-10-04,27.648125,27.947145,28.131462,27.2
2021-10-05,27.29261,27.29261,27.792595,27.4
2021-10-06,27.275448,27.246262,27.607925,28.6
2021-10-07,27.787628,27.396856,27.652035,29.2
2021-10-08,28.194439,28.194439,27.701258,30.0
2021-10-09,28.542166,28.168385,27.879787,28.6
2021-10-10,28.437992,28.137133,28.437992,28.2
2021-10-11,28.293367,28.293367,28.33937,28.4
2021-10-12,28.246809,28.216404,28.250862,28.4
2021-10-13,28.29323,28.230555,28.254595,29.9
2021-10-14,28.594501,28.594501,28.263,29.4
2021-10-15,28.70247,28.53948,28.284271,29.4
2021-10-16,28.786768,28.49689,28.297413,29.4
2021-10-17,28.876013,28.876013,28.876013,29.6
2021-10-18,28.994509,28.814802,28.814802,30.2
2021-10-19,29.188488,28.7467,28.7467,29.1
2021-10-20,29.155201,29.155201,28.706007,29.2
2021-10-21,29.163757,29.096872,28.662561,28.9
2021-10-22,29.076637,29.011192,28.58712,29.6
2021-10-23,29.2294,29.2294,28.555344,26.8
2021-10-24,28.773514,29.319433,28.773514,27.6
2021-10-25,28.69372,29.421293,28.99197,28.9
2021-10-26,28.948313,28.948313,29.165255,29.8
2021-10-27,29.210554,29.059223,29.25783,28.4
2021-10-28,29.064999,29.104647,29.302279,30.2
2021-10-29,29.27192,29.27192,29.299765,30.6
2021-10-30,29.538181,29.271875,29.338049,27.4
2021-10-31,29.121067,29.289476,29.121067,24.3
2021-11-01,28.139835,28.139835,29.181822,29.0
2021-11-02,28.52084,28.386711,29.247166,28.2
2021-11-03,28.51495,28.528397,29.248415,29.9
2021-11-04,28.782682,28.782682,29.257647,31.0
2021-11-05,29.125164,28.735174,29.261929,27.6
2021-11-06,28.697142,28.680206,29.263718,28.0
2021-11-07,28.492014,28.492014,28.492014,28.0
2021-11-08,28.340311,28.456856,28.456856,29.9
2021-11-09,28.632141,28.445604,28.445604,28.6
2021-11-10,28.550411,28.550411,28.428982,28.0
2021-11-11,28.391224,28.500431,28.416664,30.6
2021-11-12,28.765614,28.449272,28.386902,28.4
2021-11-13,28.634403,28.634403,28.418564,29.3
2021-11-14,28.72867,28.608223,28.72867,27.9
2021-11-15,28.517523,28.574728,28.66868,28.5
2021-11-16,28.484951,28.484951,28.606758,28.6
2021-11-17,28.509666,28.490194,28.58883,26.8
2021-11-18,28.097672,28.456419,28.541601,28.0
2021-11-19,28.110071,28.110071,28.489292,28.6
