date,Predictions,Actuals
2021-08-15,27.553913,28.0
2021-08-16,27.562292,27.5
2021-08-17,27.580908,28.8
2021-08-18,27.599106,28.4
2021-08-19,27.621702,27.8
2021-08-20,27.654705,27.7
2021-08-21,27.687765,27.5
2021-08-22,27.7183,28.2
2021-08-23,27.743942,27.9
2021-08-24,27.763672,27.6
2021-08-25,27.776716,26.6
2021-08-26,27.783695,27.2
2021-08-27,27.783659,27.2
2021-08-28,27.778784,27.9
2021-08-29,27.769333,28.4
2021-08-30,27.756176,28.0
2021-08-31,27.739006,28.8
2021-09-01,27.71764,29.2
2021-09-02,27.69259,27.7
2021-09-03,27.664572,28.6
2021-09-04,27.634394,28.4
2021-09-05,27.603394,28.4
2021-09-06,27.572048,27.6
2021-09-07,27.542322,28.8
2021-09-08,27.513607,26.4
2021-09-09,27.486929,24.0
2021-09-10,27.46178,28.7
2021-09-11,27.438292,28.0
2021-09-12,27.418514,25.6
2021-09-13,27.404146,28.4
2021-09-14,27.39524,28.7
2021-09-15,27.397583,27.4
2021-09-16,27.40292,24.3
2021-09-17,27.4094,27.2
2021-09-18,27.415737,25.0
2021-09-19,27.42088,27.4
2021-09-20,27.424107,28.2
2021-09-21,27.425007,29.0
2021-09-22,27.42344,26.2
2021-09-23,27.419592,27.2
2021-09-24,27.416075,27.2
2021-09-25,27.413742,27.8
2021-09-26,27.408808,27.7
2021-09-27,27.404333,28.4
2021-09-28,27.397718,29.7
2021-09-29,27.38924,29.2
2021-09-30,27.37862,29.8
2021-10-01,27.365477,31.4
2021-10-02,27.35071,29.4
2021-10-03,27.333725,27.0
2021-10-04,27.316635,27.2
2021-10-05,27.298365,27.4
2021-10-06,27.280807,28.6
2021-10-07,27.268658,29.2
2021-10-08,27.259018,30.0
2021-10-09,27.250917,28.6
2021-10-10,27.243696,28.2
2021-10-11,27.238192,28.4
2021-10-12,27.233461,28.4
2021-10-13,27.230124,29.9
2021-10-14,27.22796,29.4
2021-10-15,27.225687,29.4
2021-10-16,27.22376,29.4
2021-10-17,27.222355,29.6
2021-10-18,27.221245,30.2
2021-10-19,27.219967,29.1
2021-10-20,27.21879,29.2
2021-10-21,27.21758,28.9
2021-10-22,27.216242,29.6
2021-10-23,27.214888,26.8
2021-10-24,27.213224,27.6
2021-10-25,27.211346,28.9
2021-10-26,27.209255,29.8
2021-10-27,27.206999,28.4
2021-10-28,27.204376,30.2
2021-10-29,27.201738,30.6
2021-10-30,27.199066,27.4
2021-10-31,27.197699,24.3
2021-11-01,27.197044,29.0
2021-11-02,27.196747,28.2
2021-11-03,27.195961,29.9
2021-11-04,27.195501,31.0
2021-11-05,27.195042,27.6
2021-11-06,27.194605,28.0
2021-11-07,27.194252,28.0
