date,Predictions,Actuals
2021-10-27,87.25683,90.0
2021-10-28,87.74152,85.0
2021-10-29,87.92738,83.0
2021-10-30,87.95693,88.0
2021-10-31,87.92299,93.0
2021-11-01,87.85878,84.0
2021-11-02,87.80127,88.0
2021-11-03,87.74095,85.0
2021-11-04,87.69288,81.0
2021-11-05,87.645645,86.0
2021-11-06,87.58237,93.0
2021-11-07,87.50242,91.0
2021-11-08,87.33782,85.0
2021-11-09,87.270935,84.0
2021-11-10,87.16967,88.0
2021-11-11,87.127594,83.0
2021-11-12,86.9976,91.0
2021-11-13,86.87959,90.0
2021-11-14,86.77233,93.0
2021-11-15,86.7405,89.0
2021-11-16,86.76621,83.0
2021-11-17,86.843666,94.0
2021-11-18,87.01955,89.0
2021-11-19,87.19991,89.0
2021-11-20,87.35992,85.0
2021-11-21,87.5516,91.0
2021-11-22,87.73298,94.0
2021-11-23,87.91078,93.0
2021-11-24,88.071335,92.0
2021-11-25,88.2341,92.0
2021-11-26,88.36145,86.0
2021-11-27,88.45109,89.0
2021-11-28,88.5044,90.0
2021-11-29,88.53742,85.0
2021-11-30,88.5262,89.0
2021-12-01,88.46207,86.0
2021-12-02,88.35919,82.0
2021-12-03,88.24646,83.0
2021-12-04,88.019775,84.0
2021-12-05,87.83547,92.0
2021-12-06,87.766815,82.0
2021-12-07,87.82388,89.0
2021-12-08,87.92843,88.0
2021-12-09,88.01137,86.0
2021-12-10,88.11072,80.0
2021-12-11,88.26342,86.0
2021-12-12,88.38395,85.0
2021-12-13,88.50906,80.0
2021-12-14,88.64978,86.0
2021-12-15,88.72886,87.0
2021-12-16,88.756165,83.0
2021-12-17,88.77364,92.0
2021-12-18,88.68667,90.0
2021-12-19,88.64236,95.0
2021-12-20,88.70175,90.0
2021-12-21,88.64095,91.0
2021-12-22,88.68445,93.0
2021-12-23,88.82243,89.0
2021-12-24,88.93765,88.0
2021-12-25,89.01214,91.0
2021-12-26,89.063126,94.0
2021-12-27,89.09274,94.0
2021-12-28,89.10408,89.0
2021-12-29,89.095116,85.0
2021-12-30,89.07318,95.0
2021-12-31,89.04195,88.0
2022-01-01,88.98352,92.0
2022-01-02,88.86824,86.0
2022-01-03,88.59927,96.0
2022-01-04,88.45486,92.0
2022-01-05,88.48263,91.0
2022-01-06,88.44196,90.0
2022-01-07,88.39133,92.0
2022-01-08,88.32935,89.0
2022-01-09,88.27351,89.0
2022-01-10,88.23188,90.0
2022-01-11,88.205894,89.0
2022-01-12,88.206215,91.0
2022-01-13,88.22394,92.0
2022-01-14,88.26206,88.0
2022-01-15,88.31452,94.0
2022-01-16,88.385254,92.0
2022-01-17,88.450356,90.0
2022-01-18,88.5173,95.0
2022-01-19,88.57556,92.0
2022-01-20,88.63263,92.0
2022-01-21,88.68142,91.0
2022-01-22,88.71927,89.0
2022-01-23,88.74105,85.0
2022-01-24,88.76851,88.0
2022-01-25,88.778755,85.0
2022-01-26,88.78962,86.0
2022-01-27,88.79306,90.0
2022-01-28,88.79207,92.0
2022-01-29,88.78559,90.0
2022-01-30,88.766525,87.0
2022-01-31,88.739426,84.0
2022-02-01,88.709595,84.0
2022-02-02,88.67814,87.0
2022-02-03,88.64122,94.0
2022-02-04,88.60178,90.0
2022-02-05,88.56339,88.0
2022-02-06,88.526794,84.0
2022-02-07,88.49026,82.0
2022-02-08,88.45822,86.0
2022-02-09,88.4415,94.0
2022-02-10,88.42856,88.0
2022-02-11,88.41584,88.0
2022-02-12,88.40758,94.0
2022-02-13,88.411644,92.0
2022-02-14,88.4093,87.0
2022-02-15,88.428856,95.0
2022-02-16,88.44602,94.0
2022-02-17,88.46159,94.0
2022-02-18,88.45764,96.0
2022-02-19,88.472946,94.0
2022-02-20,88.469025,90.0
2022-02-21,88.47063,89.0
2022-02-22,88.476906,96.0
2022-02-23,88.48519,84.0
2022-02-24,88.49818,85.0
2022-02-25,88.51708,89.0
2022-02-26,88.61708,86.0
2022-02-27,88.609406,87.0
2022-02-28,88.66427,90.0
2022-03-01,88.69266,90.0
2022-03-02,88.69518,93.0
2022-03-03,88.69408,94.0
2022-03-04,88.68777,91.0
2022-03-05,88.668335,89.0
2022-03-06,88.64689,89.0
2022-03-07,88.626144,92.0
2022-03-08,88.60552,89.0
2022-03-09,88.58427,86.0
2022-03-10,88.56159,90.0
2022-03-11,88.53712,90.0
2022-03-12,88.509895,94.0
2022-03-13,88.478905,91.0
2022-03-14,88.44198,84.0
2022-03-15,88.39396,87.0
2022-03-16,88.35493,90.0
2022-03-17,88.302124,91.0
2022-03-18,88.20564,90.0
2022-03-19,87.99509,92.0
2022-03-20,87.60143,93.0
2022-03-21,87.55639,91.0
2022-03-22,87.556786,91.0
2022-03-23,87.564674,90.0
2022-03-24,87.56231,86.0
2022-03-25,87.556244,85.0
2022-03-26,87.548965,86.0
2022-03-27,87.54141,88.0
2022-03-28,87.534035,84.0
2022-03-29,87.52698,93.0
2022-03-30,87.520226,90.0
2022-03-31,87.51373,87.0
