date,Predictions,Actuals
2021-10-27,88.15677,90.0
2021-10-28,88.59416,85.0
2021-10-29,88.22216,83.0
2021-10-30,87.82315,88.0
2021-10-31,87.86772,93.0
2021-11-01,87.86356,84.0
2021-11-02,87.94784,88.0
2021-11-03,87.74486,85.0
2021-11-04,87.73722,81.0
2021-11-05,87.97008,86.0
2021-11-06,88.1711,93.0
2021-11-07,88.3428,91.0
2021-11-08,88.253105,85.0
2021-11-09,88.48022,84.0
2021-11-10,88.54478,88.0
2021-11-11,88.49978,83.0
2021-11-12,88.39634,91.0
2021-11-13,88.24455,90.0
2021-11-14,88.06675,93.0
2021-11-15,87.80638,89.0
2021-11-16,87.47827,83.0
2021-11-17,87.08405,94.0
2021-11-18,86.46594,89.0
2021-11-19,86.039055,89.0
2021-11-20,85.85333,85.0
2021-11-21,85.79755,91.0
2021-11-22,85.88685,94.0
2021-11-23,86.165375,93.0
2021-11-24,86.58876,92.0
2021-11-25,87.08569,92.0
2021-11-26,87.23138,86.0
2021-11-27,87.091446,89.0
2021-11-28,86.76308,90.0
2021-11-29,86.58674,85.0
2021-11-30,85.84359,89.0
2021-12-01,85.06051,86.0
2021-12-02,84.44315,82.0
2021-12-03,83.87119,83.0
2021-12-04,82.07452,84.0
2021-12-05,80.86634,92.0
2021-12-06,80.52895,82.0
2021-12-07,80.68379,89.0
2021-12-08,81.39049,88.0
2021-12-09,81.5089,86.0
2021-12-10,81.4849,80.0
2021-12-11,82.069595,86.0
2021-12-12,82.00951,85.0
2021-12-13,82.136086,80.0
2021-12-14,82.63356,86.0
2021-12-15,82.66624,87.0
2021-12-16,82.84283,83.0
2021-12-17,83.0631,92.0
2021-12-18,83.68212,90.0
2021-12-19,85.4342,95.0
2021-12-20,85.63606,90.0
2021-12-21,84.749115,91.0
2021-12-22,83.52656,93.0
2021-12-23,82.32625,89.0
2021-12-24,81.317215,88.0
2021-12-25,80.64976,91.0
2021-12-26,80.39827,94.0
2021-12-27,80.55162,94.0
2021-12-28,80.98987,89.0
2021-12-29,81.51322,85.0
2021-12-30,81.89201,95.0
2021-12-31,82.12389,88.0
2022-01-01,82.23667,92.0
2022-01-02,82.48326,86.0
2022-01-03,81.96167,96.0
2022-01-04,81.54616,92.0
2022-01-05,81.76702,91.0
2022-01-06,81.594086,90.0
2022-01-07,81.044266,92.0
2022-01-08,80.383965,89.0
2022-01-09,79.76256,89.0
2022-01-10,79.07975,90.0
2022-01-11,78.2775,89.0
2022-01-12,77.769554,91.0
2022-01-13,77.27714,92.0
2022-01-14,76.77703,88.0
2022-01-15,76.45937,94.0
2022-01-16,76.21952,92.0
2022-01-17,76.13638,90.0
2022-01-18,76.20166,95.0
2022-01-19,76.3903,92.0
2022-01-20,76.741516,92.0
2022-01-21,77.16586,91.0
2022-01-22,77.60656,89.0
2022-01-23,77.9906,85.0
2022-01-24,78.51189,88.0
2022-01-25,78.9181,85.0
2022-01-26,79.35982,86.0
2022-01-27,79.75592,90.0
2022-01-28,80.1368,92.0
2022-01-29,80.51635,90.0
2022-01-30,80.82396,87.0
2022-01-31,81.18438,84.0
2022-02-01,81.58169,84.0
2022-02-02,82.210526,87.0
2022-02-03,82.8521,94.0
2022-02-04,83.45756,90.0
2022-02-05,83.991394,88.0
2022-02-06,84.31453,84.0
2022-02-07,84.50072,82.0
2022-02-08,84.62854,86.0
2022-02-09,84.747635,94.0
2022-02-10,85.01536,88.0
2022-02-11,85.47542,88.0
2022-02-12,85.94919,94.0
2022-02-13,86.35518,92.0
2022-02-14,86.505486,87.0
2022-02-15,86.550354,95.0
2022-02-16,86.40574,94.0
2022-02-17,86.162926,94.0
2022-02-18,85.88688,96.0
2022-02-19,85.86966,94.0
2022-02-20,86.05135,90.0
2022-02-21,86.456024,89.0
2022-02-22,87.0275,96.0
2022-02-23,87.81654,84.0
2022-02-24,88.626076,85.0
2022-02-25,89.09693,89.0
2022-02-26,89.186104,86.0
2022-02-27,89.37831,87.0
2022-02-28,89.289825,90.0
2022-03-01,88.98431,90.0
2022-03-02,88.48961,93.0
2022-03-03,87.8607,94.0
2022-03-04,87.208046,91.0
2022-03-05,86.61136,89.0
2022-03-06,86.27736,89.0
2022-03-07,85.904686,92.0
2022-03-08,85.433525,89.0
2022-03-09,84.84973,86.0
2022-03-10,84.15108,90.0
2022-03-11,83.79108,90.0
2022-03-12,83.36687,94.0
2022-03-13,83.07416,91.0
2022-03-14,82.842964,84.0
2022-03-15,82.87769,87.0
2022-03-16,83.08662,90.0
2022-03-17,83.81014,91.0
2022-03-18,85.6582,90.0
2022-03-19,88.022026,92.0
2022-03-20,90.15221,93.0
2022-03-21,91.4228,91.0
2022-03-22,91.68159,91.0
2022-03-23,91.16556,90.0
2022-03-24,90.28707,86.0
2022-03-25,89.48642,85.0
2022-03-26,89.036896,86.0
2022-03-27,88.9489,88.0
2022-03-28,89.08551,84.0
2022-03-29,89.34661,93.0
2022-03-30,89.61603,90.0
2022-03-31,89.82613,87.0
