date,Predictions,Actuals
2021-08-15,19.54746,19.3
2021-08-16,19.76498,20.8
2021-08-17,19.798864,19.0
2021-08-18,19.801834,19.4
2021-08-19,19.80129,18.9
2021-08-20,19.800648,20.0
2021-08-21,19.800179,20.0
2021-08-22,19.79984,19.5
2021-08-23,19.799578,19.2
2021-08-24,19.799355,19.0
2021-08-25,19.799154,19.2
2021-08-26,19.798967,18.4
2021-08-27,19.798803,19.6
2021-08-28,19.79865,19.2
2021-08-29,19.79853,20.9
2021-08-30,19.79845,19.0
2021-08-31,19.798418,18.6
2021-09-01,19.798414,18.4
2021-09-02,19.79845,20.4
2021-09-03,19.798536,18.3
2021-09-04,19.798666,20.4
2021-09-05,19.798845,20.8
2021-09-06,19.799057,19.8
2021-09-07,19.799303,20.8
2021-09-08,19.799582,21.0
2021-09-09,19.799881,21.6
2021-09-10,19.800201,20.0
2021-09-11,19.800543,20.8
2021-09-12,19.80089,20.3
2021-09-13,19.801243,20.2
2021-09-14,19.801603,19.8
2021-09-15,19.801971,20.0
2021-09-16,19.802345,20.8
2021-09-17,19.802721,21.0
2021-09-18,19.803093,18.8
2021-09-19,19.803461,20.2
2021-09-20,19.803823,20.8
2021-09-21,19.804178,20.0
2021-09-22,19.804527,20.6
2021-09-23,19.804861,20.1
2021-09-24,19.805185,18.8
2021-09-25,19.8055,20.3
2021-09-26,19.805809,21.6
2021-09-27,19.806112,20.2
2021-09-28,19.806396,20.0
2021-09-29,19.806671,18.4
2021-09-30,19.80694,20.8
2021-10-01,19.807196,20.0
2021-10-02,19.807432,21.2
2021-10-03,19.80766,21.0
2021-10-04,19.807877,20.2
2021-10-05,19.808088,19.8
2021-10-06,19.808289,18.6
2021-10-07,19.808483,18.2
2021-10-08,19.80867,18.8
2021-10-09,19.808842,20.3
2021-10-10,19.808985,19.8
2021-10-11,19.809135,19.6
2021-10-12,19.809277,21.8
2021-10-13,19.80942,19.8
2021-10-14,19.809568,18.9
2021-10-15,19.80968,18.6
2021-10-16,19.80979,17.8
2021-10-17,19.809881,18.6
2021-10-18,19.809956,19.2
2021-10-19,19.810017,20.8
2021-10-20,19.810097,19.4
2021-10-21,19.810173,19.0
2021-10-22,19.810236,20.9
2021-10-23,19.810299,20.2
2021-10-24,19.810349,19.8
2021-10-25,19.810377,18.2
2021-10-26,19.810425,19.3
2021-10-27,19.81046,18.6
2021-10-28,19.810472,18.8
2021-10-29,19.810467,20.6
2021-10-30,19.81047,21.6
2021-10-31,19.81049,19.2
2021-11-01,19.81052,18.1
2021-11-02,19.810555,18.0
2021-11-03,19.81059,19.0
2021-11-04,19.810604,20.6
