date,Predictions,Actuals
2021-08-15,27.539513,28.0
2021-08-16,27.715593,27.5
2021-08-17,27.909018,28.8
2021-08-18,28.061966,28.4
2021-08-19,28.10317,27.8
2021-08-20,28.065079,27.7
2021-08-21,27.9831,27.5
2021-08-22,27.888815,28.2
2021-08-23,27.797127,27.9
2021-08-24,27.722378,27.6
2021-08-25,27.674961,26.6
2021-08-26,27.653645,27.2
2021-08-27,27.661036,27.2
2021-08-28,27.687979,27.9
2021-08-29,27.699152,28.4
2021-08-30,27.713476,28.0
2021-08-31,27.736769,28.8
2021-09-01,27.769646,29.2
2021-09-02,27.778664,27.7
2021-09-03,27.780142,28.6
2021-09-04,27.777243,28.4
2021-09-05,27.770235,28.4
2021-09-06,27.758911,27.6
2021-09-07,27.743551,28.8
2021-09-08,27.6989,26.4
2021-09-09,27.622416,24.0
2021-09-10,27.523811,28.7
2021-09-11,27.449139,28.0
2021-09-12,27.384968,25.6
2021-09-13,27.335163,28.4
2021-09-14,27.29762,28.7
2021-09-15,27.272146,27.4
2021-09-16,27.258678,24.3
2021-09-17,27.275059,27.2
2021-09-18,27.328032,25.0
2021-09-19,27.435818,27.4
2021-09-20,27.556261,28.2
2021-09-21,27.672205,29.0
2021-09-22,27.771091,26.2
2021-09-23,27.81583,27.2
2021-09-24,27.818022,27.2
2021-09-25,27.779047,27.8
2021-09-26,27.740164,27.7
2021-09-27,27.689583,28.4
2021-09-28,27.669926,29.7
2021-09-29,27.667593,29.2
2021-09-30,27.673338,29.8
2021-10-01,27.673162,31.4
2021-10-02,27.679028,29.4
2021-10-03,27.693354,27.0
2021-10-04,27.699812,27.2
2021-10-05,27.695007,27.4
2021-10-06,27.66778,28.6
2021-10-07,27.581305,29.2
2021-10-08,27.459038,30.0
2021-10-09,27.303642,28.6
2021-10-10,27.128683,28.2
2021-10-11,27.046928,28.4
2021-10-12,26.993444,28.4
2021-10-13,26.966803,29.9
2021-10-14,26.961012,29.4
2021-10-15,27.001804,29.4
2021-10-16,27.051311,29.4
2021-10-17,27.185936,29.6
2021-10-18,27.359272,30.2
2021-10-19,27.531635,29.1
2021-10-20,27.682596,29.2
2021-10-21,27.821774,28.9
2021-10-22,27.870401,29.6
2021-10-23,27.871283,26.8
2021-10-24,27.830032,27.6
2021-10-25,27.77543,28.9
2021-10-26,27.730467,29.8
2021-10-27,27.701897,28.4
2021-10-28,27.708511,30.2
2021-10-29,27.735239,30.6
2021-10-30,27.778393,27.4
2021-10-31,27.835478,24.3
2021-11-01,27.894335,29.0
2021-11-02,27.95307,28.2
2021-11-03,28.00585,29.9
2021-11-04,28.029903,31.0
2021-11-05,28.015068,27.6
2021-11-06,27.91353,28.0
2021-11-07,27.724518,28.0
2021-11-08,27.47184,29.9
2021-11-09,27.332508,28.6
2021-11-10,27.280222,28.0
2021-11-11,27.273918,30.6
2021-11-12,27.314278,28.4
2021-11-13,27.390648,29.3
2021-11-14,27.425976,27.9
2021-11-15,27.369946,28.5
2021-11-16,27.334034,28.6
2021-11-17,27.253548,26.8
2021-11-18,27.346241,28.0
2021-11-19,27.527878,28.6
2021-11-20,27.76584,28.8
2021-11-21,27.989084,26.8
2021-11-22,28.060984,27.8
2021-11-23,28.026218,28.2
2021-11-24,27.907457,27.6
2021-11-25,27.809546,27.1
2021-11-26,27.682598,26.8
2021-11-27,27.575962,27.2
2021-11-28,27.454758,26.7
2021-11-29,27.398487,28.6
2021-11-30,27.381413,28.4
2021-12-01,27.35958,26.7
2021-12-02,27.334759,29.4
2021-12-03,27.306206,29.4
2021-12-04,27.289299,27.0
2021-12-05,27.278513,28.6
2021-12-06,27.264936,28.6
2021-12-07,27.27113,27.4
2021-12-08,27.248592,25.2
2021-12-09,27.224497,27.0
2021-12-10,27.2256,28.4
2021-12-11,27.180481,28.0
2021-12-12,27.141514,28.0
2021-12-13,27.10077,28.6
2021-12-14,27.072342,28.2
2021-12-15,27.04436,27.0
2021-12-16,27.020552,28.8
2021-12-17,27.018835,29.2
2021-12-18,27.012177,28.4
2021-12-19,27.007578,26.4
2021-12-20,27.019129,25.9
2021-12-21,27.037418,28.4
2021-12-22,27.055727,26.2
2021-12-23,27.069874,25.9
2021-12-24,27.077633,28.2
2021-12-25,27.078434,24.6
2021-12-26,27.073416,26.0
2021-12-27,27.073238,24.6
2021-12-28,27.080769,26.4
2021-12-29,27.092945,26.4
2021-12-30,27.10995,24.6
2021-12-31,27.131523,26.3
2022-01-01,27.156767,24.8
2022-01-02,27.18447,26.8
2022-01-03,27.213074,25.2
2022-01-04,27.241047,25.6
2022-01-05,27.267622,25.3
2022-01-06,27.291653,25.5
2022-01-07,27.31167,25.0
2022-01-08,27.325981,27.2
