date,Predictions,Actuals
2021-10-27,77.61859570264807,90.0
2021-10-28,86.72315713499478,85.0
2021-10-29,83.2520995592215,83.0
2021-10-30,77.53079035163941,88.0
2021-10-31,85.9617858568019,93.0
2021-11-01,81.37317911202025,84.0
2021-11-02,85.07599035779216,88.0
2021-11-03,89.10394570369026,85.0
2021-11-04,85.64740591448002,81.0
2021-11-05,82.51975449591951,86.0
2021-11-06,81.18657970368594,93.0
2021-11-07,89.45097579016212,91.0
2021-11-08,89.95812834369566,85.0
2021-11-09,86.89043318533179,84.0
2021-11-10,83.42051893686602,88.0
2021-11-11,84.02747344576488,83.0
2021-11-12,84.4877040052113,91.0
2021-11-13,86.96821457062391,90.0
2021-11-14,89.86389282570252,93.0
2021-11-15,90.9741045455565,89.0
2021-11-16,89.46837422546729,83.0
2021-11-17,82.48304940174941,94.0
2021-11-18,87.10556060536993,89.0
2021-11-19,88.04621899196928,89.0
2021-11-20,87.65500482306409,85.0
2021-11-21,87.65882642215634,91.0
2021-11-22,90.66228900066113,94.0
2021-11-23,90.34016845983476,93.0
2021-11-24,92.3762769857183,92.0
2021-11-25,91.04366303137316,92.0
2021-11-26,91.35373823451445,86.0
2021-11-27,88.02710028259776,89.0
2021-11-28,91.78621839171628,90.0
2021-11-29,87.99569685128021,85.0
2021-11-30,85.60172062447108,89.0
2021-12-01,88.41300399899306,86.0
2021-12-02,85.96348389463977,82.0
2021-12-03,81.56252150270892,83.0
2021-12-04,87.59238751146316,84.0
2021-12-05,83.59343389517315,92.0
2021-12-06,87.88338612712492,82.0
2021-12-07,84.64594702322401,89.0
2021-12-08,90.6430323266939,88.0
2021-12-09,87.35866646565455,86.0
2021-12-10,83.72245985912393,80.0
2021-12-11,81.91542511562908,86.0
2021-12-12,81.68827120561451,85.0
2021-12-13,87.58460112346019,80.0
2021-12-14,81.80108132232851,86.0
2021-12-15,82.10646287359063,87.0
2021-12-16,87.54590217913736,83.0
2021-12-17,85.12822771215174,92.0
2021-12-18,87.60735970586391,90.0
2021-12-19,84.88651897353603,95.0
2021-12-20,89.94399971626834,90.0
2021-12-21,89.17145609335796,91.0
2021-12-22,88.55843798966951,93.0
2021-12-23,86.88233138208577,89.0
2021-12-24,91.62188720692014,88.0
2021-12-25,90.7239382254831,91.0
2021-12-26,88.11537102315954,94.0
2021-12-27,90.82265126472615,94.0
2021-12-28,88.07551143350081,89.0
2021-12-29,89.05732114718253,85.0
2021-12-30,88.74173583446134,95.0
2021-12-31,93.20118583284616,88.0
2022-01-01,93.58840805808445,92.0
2022-01-02,93.67289373192237,86.0
2022-01-03,92.45734070267176,96.0
2022-01-04,93.71069337170172,92.0
2022-01-05,93.19573798717815,91.0
2022-01-06,91.65962412528172,90.0
2022-01-07,92.7163198338782,92.0
2022-01-08,90.36709944537267,89.0
2022-01-09,91.84861065551075,89.0
2022-01-10,89.93704076258732,90.0
2022-01-11,90.11819240004546,89.0
2022-01-12,87.93182873982076,91.0
2022-01-13,93.20367620710944,92.0
2022-01-14,92.41684529699128,88.0
2022-01-15,87.55496452238212,94.0
2022-01-16,89.44149058660304,92.0
2022-01-17,91.61532472034295,90.0
2022-01-18,87.05895175194149,95.0
2022-01-19,90.24117511511567,92.0
2022-01-20,91.4477187895341,92.0
2022-01-21,92.10916117763297,91.0
2022-01-22,90.36524057883592,89.0
2022-01-23,90.84626921945907,85.0
2022-01-24,88.8061698888632,88.0
2022-01-25,89.73898103837978,85.0
2022-01-26,88.8416728291076,86.0
2022-01-27,88.92275946425987,90.0
2022-01-28,87.85860440164893,92.0
2022-01-29,90.7107972216606,90.0
2022-01-30,88.72157365116047,87.0
2022-01-31,91.27873504776234,84.0
2022-02-01,89.45325515807437,84.0
2022-02-02,88.56675541197576,87.0
2022-02-03,85.80647764675139,94.0
2022-02-04,91.19779911609224,90.0
2022-02-05,92.25216016638004,88.0
2022-02-06,88.18590144768085,84.0
2022-02-07,88.27077949076504,82.0
2022-02-08,81.90446913764657,86.0
2022-02-09,89.53616449014012,94.0
2022-02-10,87.12687589590375,88.0
2022-02-11,86.61581370154249,88.0
2022-02-12,90.4313283940924,94.0
2022-02-13,90.40122499882962,92.0
2022-02-14,86.4382220257902,87.0
2022-02-15,91.18595106604961,95.0
2022-02-16,91.46042176172114,94.0
2022-02-17,91.15609385785717,94.0
2022-02-18,94.61713051540367,96.0
2022-02-19,92.52311005169871,94.0
2022-02-20,91.36211000639328,90.0
2022-02-21,91.19262505328543,89.0
2022-02-22,91.57636515956841,96.0
2022-02-23,93.74222828395679,84.0
2022-02-24,89.06941385932028,85.0
2022-02-25,86.37472388261281,89.0
2022-02-26,91.20581627718546,86.0
2022-02-27,89.69191394003659,87.0
2022-02-28,85.77868427982855,90.0
2022-03-01,92.21650443179412,90.0
2022-03-02,90.01355945338702,93.0
2022-03-03,89.15622747264914,94.0
2022-03-04,94.12795161918396,91.0
2022-03-05,90.97769425478036,89.0
2022-03-06,90.92935927803755,89.0
2022-03-07,89.04692962139023,92.0
2022-03-08,89.30009884028782,89.0
2022-03-09,90.83448987491207,86.0
2022-03-10,87.58907592878766,90.0
2022-03-11,89.03070793709124,90.0
2022-03-12,90.64028264839922,94.0
2022-03-13,89.48717721119958,91.0
2022-03-14,90.81889465428733,84.0
2022-03-15,85.71229930259274,87.0
2022-03-16,86.48081312502919,90.0
2022-03-17,91.36498969650737,91.0
2022-03-18,88.6440627933497,90.0
2022-03-19,89.61060397109571,92.0
2022-03-20,91.22877511275017,93.0
2022-03-21,93.29389901136018,91.0
